"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"9149","ORCHID APARTMENTS","ENG NEO AVENUE","Apartment","11","CCR","Freehold","Resale","1","1707000","-","1356","Strata","01 to 05","1259","Apr-2017"
"9150","WATERBANK AT DAKOTA","DAKOTA CRESCENT","Condominium","14","RCR","99 yrs lease commencing from 2009","Resale","1","1255000","-","883","Strata","01 to 05","1422","Apr-2017"
"9151","THE MEYERISE","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","1750000","-","883","Strata","26 to 30","1983","Apr-2017"
"9152","BEACON HEIGHTS","MAR THOMA ROAD","Condominium","12","RCR","999 yrs lease commencing from 1882","Resale","1","1000000","-","1109","Strata","16 to 20","902","Apr-2017"
"9153","CUBE 8","THOMSON ROAD","Condominium","11","CCR","Freehold","Resale","1","1920000","-","1389","Strata","26 to 30","1383","Apr-2017"
"9154","AMARYLLIS VILLE","NEWTON ROAD","Condominium","11","CCR","99 yrs lease commencing from 1997","Resale","1","1390000","-","958","Strata","01 to 05","1451","Apr-2017"
"9155","WATERBANK AT DAKOTA","DAKOTA CRESCENT","Condominium","14","RCR","99 yrs lease commencing from 2009","Resale","1","1060000","-","624","Strata","11 to 15","1698","Apr-2017"
"9156","FULCRUM","FORT ROAD","Condominium","15","RCR","Freehold","Resale","1","943000","-","474","Strata","01 to 05","1991","Apr-2017"
"9157","THE CENTREN","LORONG 27 GEYLANG","Apartment","14","RCR","Freehold","Resale","1","1125000","-","1012","Strata","01 to 05","1112","Apr-2017"
"9158","D'WEAVE","LORONG 39 GEYLANG","Apartment","14","RCR","Freehold","Resale","1","607000","-","420","Strata","01 to 05","1446","Apr-2017"
"9159","THE WATERINA","LORONG 40 GEYLANG","Apartment","14","RCR","Freehold","Resale","1","1445000","-","1227","Strata","06 to 10","1178","Apr-2017"
"9160","ONE EIGHTIES RESIDENCES","JOO CHIAT TERRACE","Apartment","15","RCR","Freehold","Resale","1","898888","-","614","Strata","01 to 05","1465","Apr-2017"
